model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
XGBoost,0.7840290381125227,1.0_2.0,0.05311355311355312,2.0_4.0,1.0,1.0_2.0,0.04882751433038039,ID_2
LogisticRegression,0.7441077441077442,2.0_1.0,0.15453915453915457,4.0_2.0,1.0,1.0_2.0,0.12315270935960587,ND_1
XGBoost,0.7542087542087542,2.0_1.0,0.17325017325017322,1.0_2.0,0.7009345794392523,1.0_2.0,0.22085385878489328,ND_1
LogisticRegression,0.7556363636363637,2.0_1.0,0.0591666666666667,1.0_4.0,0.5409836065573771,1.0_2.0,0.1364602710603242,LA_1
XGBoost,0.7898181818181819,1.0_2.0,0.027746094718571784,4.0_5.0,0.7777777777777778,1.0_2.0,0.15333510496943925,LA_1
LogisticRegression,0.7826215022091311,2.0_1.0,0.0859607120933088,3.0_4.0,0.746268656716418,1.0_2.0,0.14345256654230865,GA_0
XGBoost,0.7941089837997054,2.0_1.0,0.02872928176795575,3.0_4.0,0.746268656716418,1.0_2.0,0.12170339536402221,GA_0
LogisticRegression,0.7548821548821549,1.0_2.0,0.025500303808385083,4.0_5.0,0.75,1.0_2.0,0.10721709782720382,AL_2
XGBoost,0.7784511784511785,1.0_2.0,0.07648131088418042,4.0_2.0,0.5106382978723405,1.0_2.0,0.10965151479224465,AL_2
LogisticRegression,0.7902350813743219,2.0_1.0,0.06689726229025617,4.0_5.0,0.8888888888888888,1.0_2.0,0.18342705570291779,SC_1
XGBoost,0.8257986738999398,2.0_1.0,0.01254783632617018,4.0_5.0,0.7777777777777778,1.0_2.0,0.11751479289940828,SC_1
LogisticRegression,0.7790774663429706,2.0_1.0,0.05449914853358562,3.0_5.0,0.2669157326691573,1.0_2.0,0.13054061886209223,TX_2
XGBoost,0.8084308099757228,1.0_2.0,0.03173486712172137,3.0_5.0,0.31154005811540064,1.0_2.0,0.11081688508226806,TX_2
LogisticRegression,0.753968253968254,2.0_1.0,0.16444672131147542,1.0_2.0,0.5666666666666667,1.0_2.0,0.10864745011086475,VT_0
XGBoost,0.7142857142857143,1.0_2.0,0.07714468629961588,1.0_2.0,0.6555555555555556,1.0_2.0,0.166138739309471,VT_0
LogisticRegression,0.7380733944954129,2.0_1.0,0.07047424169475208,4.0_5.0,0.7857142857142857,1.0_2.0,0.11954462578378616,WI_1
XGBoost,0.7701834862385321,1.0_2.0,0.08717501203659128,1.0_5.0,0.4121031746031746,1.0_2.0,0.12842975941655177,WI_1
LogisticRegression,0.7899852724594992,2.0_1.0,0.06344493458507705,1.0_4.0,0.6644370122630993,1.0_2.0,0.11236712624322474,GA_2
XGBoost,0.8108983799705449,1.0_2.0,0.01883585315889358,3.0_4.0,0.8392857142857143,1.0_2.0,0.09355266273746252,GA_2
LogisticRegression,0.758542996620353,2.0_1.0,0.010343375715946013,3.0_4.0,0.2961165048543689,1.0_2.0,0.18663736263736264,WA_1
XGBoost,0.7945925647765678,1.0_2.0,0.05742530847443472,3.0_5.0,0.17706888580674984,1.0_2.0,0.14804395604395607,WA_1
LogisticRegression,0.7551509343555343,2.0_1.0,0.02507850115135024,2.0_4.0,0.2857142857142857,1.0_2.0,0.11648944047865883,CO_2
XGBoost,0.7934834690943938,2.0_1.0,0.04043332635545327,2.0_4.0,0.2857142857142857,1.0_2.0,0.10852166701223309,CO_2
LogisticRegression,0.7635605006954103,2.0_1.0,0.06225352112676058,5.0_3.0,1.0,1.0_2.0,0.09422695148098148,NE_1
XGBoost,0.7065368567454798,2.0_1.0,0.06929577464788733,1.0_2.0,0.49038461538461536,1.0_2.0,0.1781148256968157,NE_1
LogisticRegression,0.7773019271948608,1.0_2.0,0.07541478129713425,5.0_2.0,1.0,1.0_2.0,0.3367977528089888,ME_1
