model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
LogisticRegression,0.7679045092838196,1.0_2.0,0.001231527093596,3.0_2.0,0.2727272727272727,1.0_2.0,0.1893817808307119,VT
XGBoost,0.7453580901856764,1.0_2.0,0.0053366174055828,3.0_2.0,0.3636363636363636,1.0_2.0,0.2371088428095554,VT
LogisticRegression,0.7767905515223751,1.0_2.0,0.0349318725846151,3.0_5.0,0.2712334584509165,1.0_2.0,0.2750376057015136,VA
XGBoost,0.8222992740275219,1.0_2.0,0.1382102446838637,3.0_5.0,0.2510959204361764,1.0_2.0,0.2683796823068047,VA
LogisticRegression,0.7641757416447615,1.0_2.0,0.0437726997531042,3.0_5.0,0.2534720823542575,1.0_2.0,0.2507599175354412,WA
XGBoost,0.8159969958693203,1.0_2.0,0.1413434916217547,1.0_5.0,0.2164046224333694,1.0_2.0,0.2685686690740066,WA
LogisticRegression,0.7491587641480575,1.0_2.0,0.0629739179115786,1.0_5.0,0.1887931539769064,1.0_2.0,0.1898769098211323,WI
XGBoost,0.7958091159375956,1.0_2.0,0.127845595342757,1.0_5.0,0.2220467733427114,1.0_2.0,0.2230635141048823,WI
LogisticRegression,0.7308319738988581,1.0_2.0,0.08095441443365,2.0_3.0,0.5,1.0_2.0,0.210651777085794,WY
XGBoost,0.7797716150081566,1.0_2.0,0.1487135689121383,1.0_3.0,0.3369175627240143,1.0_2.0,0.1440674326210673,WY
