model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
LogisticRegression,0.7398452611218569,0.10689124385767568,0.10839690923317684,0.13394159183360194,MN_0
XGBoost,0.7717601547388782,0.07542478242851214,0.10472906885758998,0.17450980392156856,MN_0
LogisticRegression,0.7602996254681648,0.08357771260997066,0.05238095238095242,0.13492063492063494,ID_0
XGBoost,0.7640449438202247,0.23313782991202348,0.23809523809523808,0.1603174603174603,ID_0
LogisticRegression,0.7808988764044944,0.030814215024741354,0.03953271028037382,0.15397796817625464,IL_2
XGBoost,0.8043071161048689,0.07470604026845637,0.061682242990654196,0.12061790402228512,IL_2
LogisticRegression,0.7528384279475983,0.06561907091434352,0.08963855421686745,0.16267432321575065,IN_2
XGBoost,0.7807860262008733,0.08483754512635377,0.13530120481927715,0.2058244462674323,IN_2
LogisticRegression,0.7960199004975125,0.04105258615109077,0.02680998270323698,0.24271025785203637,VA_0
XGBoost,0.8152096659559346,0.08198874296435277,0.02656288608846058,0.14438910755884005,VA_0
LogisticRegression,0.75,0.05970149253731344,0.21808510638297873,0.15999999999999998,IA_1
XGBoost,0.7668918918918919,0.12397688974482424,0.1478494623655914,0.10784313725490195,IA_1
LogisticRegression,0.7900552486187845,0.017901630009253336,0.14148073022312369,0.12966347704547898,OR_3
XGBoost,0.787292817679558,0.07722969606377678,0.20613590263691683,0.13287101745332042,OR_3
LogisticRegression,0.7762172284644194,0.02399786112033042,0.03197437673971969,0.15909926470588234,IL_4
XGBoost,0.8019662921348315,0.13784710698086067,0.042118624509577596,0.1215686274509804,IL_4
LogisticRegression,0.7495291902071564,0.021556100863090233,0.07953751737700471,0.19814410480349345,NJ_1
XGBoost,0.778405524168236,0.06048272261249288,0.0839093661898298,0.17810186064173156,NJ_1
LogisticRegression,0.7637795275590551,0.2576354679802955,0.18012422360248453,0.22590361445783133,NH_4
XGBoost,0.7598425196850394,0.2374384236453202,0.15436241610738255,0.11194779116465864,NH_4
LogisticRegression,0.7813802686428902,0.030331552904442755,0.14702078667633978,0.08056606707791203,PA_3
XGBoost,0.8017600741083835,0.04949478912690944,0.1469892439201338,0.13457052511533885,PA_3
