model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
XGBoost,0.7829730921923247,1.0_2.0,0.06943380141757283,1.0_5.0,0.17611187325751204,1.0_2.0,0.18177210231501428,TN_0
LogisticRegression,0.7856197617997354,1.0_2.0,0.02954875025337969,3.0_4.0,0.2857142857142857,1.0_2.0,0.15720362012334885,TN_2
XGBoost,0.819585355094839,1.0_2.0,0.12211186128826032,3.0_4.0,0.32142857142857145,1.0_2.0,0.1866734406137511,TN_2
LogisticRegression,0.7489878542510121,1.0_2.0,0.030489118724412845,1.0_5.0,0.268796992481203,1.0_2.0,0.1747788245813355,NV_0
XGBoost,0.7884615384615384,1.0_2.0,0.09545356604180133,4.0_5.0,0.28051948051948056,1.0_2.0,0.19897379527584894,NV_0
LogisticRegression,0.7689969604863222,2.0_1.0,0.00968218773096824,1.0_5.0,0.25724114067047976,1.0_2.0,0.1790352504638219,NV_2
XGBoost,0.7872340425531915,1.0_2.0,0.030635624538063566,1.0_5.0,0.2723544138899632,1.0_2.0,0.22631609461966606,NV_2
LogisticRegression,0.7872044506258693,1.0_2.0,0.026747155792895272,3.0_4.0,0.2727272727272727,1.0_2.0,0.1483953581432573,NE_0
XGBoost,0.7830319888734353,1.0_2.0,0.11656218558935066,3.0_4.0,0.23863636363636365,1.0_2.0,0.18993197278911564,NE_0
LogisticRegression,0.7579972183588317,1.0_2.0,0.07262015503875968,1.0_3.0,0.23975720789074356,1.0_2.0,0.17149227584010193,NE_1
XGBoost,0.7496522948539638,1.0_2.0,0.06877519379844962,1.0_3.0,0.2852807283763278,1.0_2.0,0.16752667622232842,NE_1
LogisticRegression,0.7399165507649513,1.0_2.0,0.08149631553420844,3.0_5.0,0.21428571428571427,1.0_2.0,0.1716159132463275,NE_2
XGBoost,0.7510431154381085,1.0_2.0,0.1286981554203107,1.0_5.0,0.19867886178861788,1.0_2.0,0.19216947229052395,NE_2
LogisticRegression,0.745041122399613,1.0_2.0,0.013868166809343274,4.0_2.0,0.21921182266009853,1.0_2.0,0.2270036653011623,MN_0
XGBoost,0.7740686985970004,1.0_2.0,0.11791610615140025,1.0_2.0,0.2602627257799671,1.0_2.0,0.2521001979654638,MN_0
LogisticRegression,0.7386253630203291,1.0_2.0,0.06238012209842719,1.0_2.0,0.2632173219978746,1.0_2.0,0.20806254557395415,MN_1
XGBoost,0.7652468538238142,1.0_2.0,0.11600194712194556,1.0_2.0,0.250243535246192,1.0_2.0,0.23118683027414394,MN_1
LogisticRegression,0.7483059051306873,1.0_2.0,0.06907278767743885,1.0_2.0,0.23141881730132952,1.0_2.0,0.21187300554574467,MN_2
XGBoost,0.7899322362052275,1.0_2.0,0.13690916641498035,3.0_2.0,0.3055555555555556,1.0_2.0,0.24796875484090838,MN_2
LogisticRegression,0.7676950998185118,1.0_2.0,0.08647450110864746,2.0_5.0,0.25,1.0_2.0,0.0945394936220624,ID_0
XGBoost,0.7749546279491834,1.0_2.0,0.15342888818498576,1.0_5.0,0.31485148514851485,1.0_2.0,0.1251618591068132,ID_0
LogisticRegression,0.7840290381125227,1.0_2.0,0.055921052631578955,4.0_2.0,0.2222222222222222,1.0_2.0,0.12313212325875897,ID_1
XGBoost,0.778584392014519,1.0_2.0,0.08223684210526316,1.0_2.0,0.27165354330708663,1.0_2.0,0.15284930350358802,ID_1
LogisticRegression,0.7822141560798548,1.0_2.0,0.06022766562940504,2.0_4.0,0.25,1.0_2.0,0.08739870560722249,ID_2
XGBoost,0.7822141560798548,1.0_2.0,0.14519003164977792,2.0_4.0,0.375,1.0_2.0,0.1593109261978572,ID_2
LogisticRegression,0.7171717171717171,1.0_2.0,0.11627906976744184,5.0_2.0,0.375,1.0_2.0,0.21921272877770626,ND_0
XGBoost,0.7609427609427609,1.0_2.0,0.08042635658914726,5.0_2.0,0.375,1.0_2.0,0.2533339464729146,ND_0
LogisticRegression,0.7373737373737373,1.0_2.0,0.04768693092982618,1.0_2.0,0.30111524163568776,1.0_2.0,0.1865819209039548,ND_1
XGBoost,0.7474747474747475,1.0_2.0,0.08341764002575186,1.0_2.0,0.34944237918215615,1.0_2.0,0.2573446327683616,ND_1
LogisticRegression,0.7845917976236105,1.0_2.0,0.026562344148710948,3.0_5.0,0.29928331442769945,1.0_2.0,0.24251948654710298,CA_1
XGBoost,0.8185511690302798,1.0_2.0,0.08471546443955441,3.0_5.0,0.3060089666720683,1.0_2.0,0.2564491595401921,CA_1
LogisticRegression,0.7763127635109237,1.0_2.0,0.03485044903346046,3.0_5.0,0.2911939201503956,1.0_2.0,0.22677259658738075,CA_2
XGBoost,0.819701034879264,1.0_2.0,0.08930202403595816,3.0_5.0,0.25590161507121156,1.0_2.0,0.24384963213837513,CA_2
LogisticRegression,0.7760805979850504,1.0_2.0,0.0013001008275983494,3.0_5.0,0.2749121730887191,1.0_2.0,0.2918052295252999,VA_2
XGBoost,0.8085797855053624,1.0_2.0,0.08951705948828304,3.0_5.0,0.2666592315842302,1.0_2.0,0.2864673420640804,VA_2
LogisticRegression,0.7561643835616438,1.0_2.0,0.09700685178507033,1.0_3.0,0.15988372093023256,1.0_2.0,0.11428211428211428,MT_0
