model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
XGBoost,0.8016321406151915,0.0541773231031543,0.1375389382959149,0.3297854759256316,NJ_4
LogisticRegression,0.7832673036588208,0.1050979479938327,0.0757327259868082,0.1921839883980119,TX_0
XGBoost,0.8116989046842228,0.1912653015463428,0.0623397380973894,0.2239683459501887,TX_0
LogisticRegression,0.7837333954789093,0.1013725560171422,0.0502530970274928,0.2066503524486717,TX_1
XGBoost,0.805173619202983,0.1919498860425596,0.0291239818960028,0.2173423215440022,TX_1
LogisticRegression,0.7713819622465625,0.1222149957044541,0.0669631532318204,0.2015744904020639,TX_3
XGBoost,0.8061058028431601,0.1952720813295892,0.0487013442282319,0.2226700021180498,TX_3
LogisticRegression,0.7723141458867396,0.1131896264194536,0.0808925961069119,0.1830968927156496,TX_4
XGBoost,0.8005127010020974,0.1773786409911492,0.0651284342307151,0.225447443379508,TX_4
LogisticRegression,0.7862969004893964,0.0913867388367422,0.0849930009711036,0.2027648505913648,TX_5
XGBoost,0.8137963178746213,0.1591028062256384,0.0659452665378075,0.220040724476235,TX_5
LogisticRegression,0.7727272727272727,0.0633661184119899,0.2163535234091009,0.3813824884792626,CT_2
XGBoost,0.7878787878787878,0.0944430669201311,0.1732580037664783,0.3439631336405529,CT_2
LogisticRegression,0.7848484848484848,0.1044973544973544,0.1538461538461538,0.3066666666666666,CT_5
XGBoost,0.8106060606060606,0.1134259259259259,0.2017543859649123,0.2661111111111111,CT_5
LogisticRegression,0.7860040567951319,0.1022035763982637,0.0893625517895472,0.1050155086194163,MO_1
XGBoost,0.8032454361054767,0.1904920143720534,0.1134528028752558,0.1428480999303694,MO_1
LogisticRegression,0.7748478701825557,0.1189894595951146,0.0669516123887595,0.1514778325123152,MO_4
XGBoost,0.8103448275862069,0.1699096536724109,0.0465482228105429,0.175615763546798,MO_4
LogisticRegression,0.7172774869109948,0.0966183574879226,0.1438910174542358,0.3855012064049133,RI_2
XGBoost,0.7225130890052356,0.1059508124725516,0.1624095359727543,0.3535863127878921,RI_2
LogisticRegression,0.7509191176470589,0.0228426137808289,0.187161997251018,0.2023292573082814,WI_2
XGBoost,0.7628676470588235,0.0570522925671667,0.1737896129587524,0.2382844946324743,WI_2
LogisticRegression,0.7527573529411765,0.0545148854508092,0.1294076843038267,0.1892627137463913,WI_3
XGBoost,0.7702205882352942,0.1195557291578214,0.1399026295168728,0.224045081057073,WI_3
LogisticRegression,0.7914364640883977,0.0731245225362872,0.1443895908292193,0.2019742894026885,OR_1
XGBoost,0.7859116022099447,0.0775553857906798,0.1392352104426408,0.2093643468379676,OR_1
LogisticRegression,0.7900552486187845,0.087117127452105,0.1613244040011587,0.2125612745098039,OR_3
XGBoost,0.7845303867403315,0.1430843944782226,0.1968713255968508,0.2505208333333333,OR_3
LogisticRegression,0.7790055248618785,0.0462662648847176,0.1217665615141955,0.2349177049684664,OR_4
XGBoost,0.7845303867403315,0.0292288700266065,0.1629863301787592,0.239993847100446,OR_4
LogisticRegression,0.7649253731343284,0.1104865951695507,0.0857814336075205,0.1724662162162162,TN_2
XGBoost,0.7985074626865671,0.1678811334085564,0.1291617704661183,0.1878378378378378,TN_2
LogisticRegression,0.8097014925373134,0.1255894902313047,0.0788158969182199,0.1460809243634893,TN_4
XGBoost,0.8199626865671642,0.1646923422411857,0.1104181267561259,0.1358137654406367,TN_4
LogisticRegression,0.7863805970149254,0.1084151566466113,0.1042934806408628,0.13800382865874,TN_5
XGBoost,0.8152985074626866,0.1317880491608783,0.0876963596439094,0.1743269112559054,TN_5
LogisticRegression,0.7368421052631579,0.0647501032631144,0.1336046511627907,0.1258347690540651,NV_0
XGBoost,0.7813765182186235,0.0982899628252788,0.1247286821705426,0.1203544179177947,NV_0
